name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chennai,01-01-2004,27.1,24.1,25.4,28.9,24.1,25.9,21.1,77.8,0,0,0,,,,,22.3,43.7,1015,64.7,6.7,,,,,2004-01-01T06:31:03,2004-01-01T17:53:07,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,02-01-2004,28.1,23.1,24.4,29.3,23.1,24.5,19.6,75.5,0,0,0,,,,,22.3,32.4,1014.6,45,6.4,,,,,2004-01-02T06:31:27,2004-01-02T17:53:41,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,03-01-2004,28.1,21.1,24.6,28.6,21.1,24.9,18.2,68.3,0,0,0,,,,,20.5,25.4,1014.7,45,7.2,,,,,2004-01-03T06:31:49,2004-01-03T17:54:15,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,04-01-2004,28.1,19.1,24.1,28.6,19.1,24.2,17.7,68.9,0,0,0,,,,,22.3,26.8,1014.8,44.1,5.7,,,,,2004-01-04T06:32:10,2004-01-04T17:54:49,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,05-01-2004,28.1,22.1,24.5,29.3,22.1,24.8,19.4,74.3,0,0,0,,,,,18.4,43.5,1015.2,47.6,5.9,,,,,2004-01-05T06:32:31,2004-01-05T17:55:23,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,06-01-2004,28.1,23.1,25,29.7,23.1,25.2,20.5,77,0.1,100,4.17,rain,,,,18.4,46.3,1014.9,54.5,5.1,,,,,2004-01-06T06:32:51,2004-01-06T17:55:57,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,43279099999
chennai,07-01-2004,27.1,20.1,24.6,28.3,20.1,24.9,18.9,71.5,0,0,0,,,,,22.3,37,1015,61.4,7,,,,,2004-01-07T06:33:10,2004-01-07T17:56:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,08-01-2004,28.1,20.1,23.4,28.6,20.1,23.5,17.8,71.6,0,0,0,,,,,25.9,39.6,1016.2,39.2,5,,,,,2004-01-08T06:33:28,2004-01-08T17:57:05,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,09-01-2004,29.1,22.1,25.4,29.9,22.1,25.5,18.4,66.9,0,0,0,,,,,27.7,27.4,1016,46.3,5.4,,,,,2004-01-09T06:33:45,2004-01-09T17:57:39,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,10-01-2004,29.1,20.1,24.8,29.2,20.1,24.9,17.5,65.8,0,0,0,,,,,20.5,35.1,1016.2,41,7.7,,,,,2004-01-10T06:34:01,2004-01-10T17:58:13,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,11-01-2004,28.1,22.1,25.1,28.9,22.1,25.3,18.1,66.3,0,0,0,,,,,18.4,32.9,1015.4,37,8.2,,,,,2004-01-11T06:34:16,2004-01-11T17:58:47,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,12-01-2004,28.1,19.1,23.8,28.9,19.1,23.9,17.3,67.9,0,0,0,,,,,18.4,40.3,1014.6,37.8,5,,,,,2004-01-12T06:34:30,2004-01-12T17:59:21,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,13-01-2004,28.1,19.1,23.4,28.6,19.1,23.5,17.3,69.7,0,0,0,,,,,14.8,35,1013.2,32.1,4.6,,,,,2004-01-13T06:34:43,2004-01-13T17:59:55,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,14-01-2004,28.1,19.1,24.4,29.3,19.1,24.8,18,68.4,0,0,0,,,,,14.8,69.1,1012.2,15.6,5.4,,,,,2004-01-14T06:34:55,2004-01-14T18:00:28,0.73,Clear,Clear conditions throughout the day.,clear-day,43279099999
chennai,15-01-2004,29.1,20.1,24.1,30.4,20.1,24.4,18.5,73.1,0,0,0,,,,,16.6,79.9,1013,29.3,6.1,,,,,2004-01-15T06:35:06,2004-01-15T18:01:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,16-01-2004,29.1,19.1,24,29.5,19.1,24.2,18.2,71.5,0,0,0,,,,,18.4,37,1014.3,31.1,4.9,,,,,2004-01-16T06:35:16,2004-01-16T18:01:34,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,17-01-2004,30.1,19.1,23.8,30.9,19.1,24,17.5,69.5,0,0,0,,,,,18.4,56,1012.9,37,7.3,,,,,2004-01-17T06:35:24,2004-01-17T18:02:07,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,18-01-2004,30.1,21.1,24.5,30.9,21.1,24.8,18.3,69.4,0,0,0,,,,,18.4,79.6,1012.9,34.2,6.8,,,,,2004-01-18T06:35:32,2004-01-18T18:02:39,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,19-01-2004,28.1,19.1,23.2,28.9,19.1,23.3,18.2,74.5,0,0,0,,,,,16.6,76.1,1012.4,35.9,6.5,,,,,2004-01-19T06:35:39,2004-01-19T18:03:11,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,20-01-2004,29.1,20.1,23.9,29.9,20.1,24.1,18.3,72.3,0,0,0,,,,,22.3,68.8,1012,43,6.2,,,,,2004-01-20T06:35:44,2004-01-20T18:03:43,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,21-01-2004,30.1,20.1,25,30.5,20.1,25.2,17.9,66.4,0,0,0,,,,,18.4,84.5,1010.9,31.3,7.5,,,,,2004-01-21T06:35:49,2004-01-21T18:04:14,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,22-01-2004,30.1,21.1,24.2,32,21.1,24.5,19.6,76.3,0,0,0,,,,,18.4,104.5,1010.7,35.5,5.5,,,,,2004-01-22T06:35:52,2004-01-22T18:04:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,23-01-2004,30.1,21.1,26.1,32.6,21.1,27.1,20.9,73.6,0,0,0,,,,,22.3,94.7,1010.8,43.7,6.9,,,,,2004-01-23T06:35:55,2004-01-23T18:05:16,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,24-01-2004,30.1,22.1,26.7,32,22.1,27.4,20.4,69.8,0,0,0,,,,,20.5,75.2,1011,40.7,6.5,,,,,2004-01-24T06:35:56,2004-01-24T18:05:46,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,25-01-2004,30.1,23.1,26.7,32.6,23.1,27.8,20.7,70.1,0,0,0,,,,,18.4,94.4,1011.3,39.5,6.8,,,,,2004-01-25T06:35:56,2004-01-25T18:06:15,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,26-01-2004,30.1,23.1,26.9,32.6,23.1,28.3,21.2,71.9,0,0,0,,,,,22.3,106,1010.9,49,6.6,,,,,2004-01-26T06:35:55,2004-01-26T18:06:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,27-01-2004,27.1,23.1,25.9,29.7,23.1,26.4,22.2,80.3,24,100,12.5,rain,,,,18.4,87.1,1010.8,64,6,,,,,2004-01-27T06:35:53,2004-01-27T18:07:13,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,43279099999
chennai,28-01-2004,29.1,23.1,26,32.1,23.1,26.9,21.6,77.2,0,0,0,,,,,22.3,64.5,1010.9,51.4,5.4,,,,,2004-01-28T06:35:49,2004-01-28T18:07:41,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,29-01-2004,30.1,23.1,27,33.4,23.1,28.8,21.8,74,0,0,0,,,,,20.5,77.2,1010.7,47.6,6.4,,,,,2004-01-29T06:35:45,2004-01-29T18:08:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
chennai,30-01-2004,30.1,23.1,27.7,33.4,23.1,29.7,22.1,72.1,0,0,0,,,,,18.4,90.6,1011.4,48.5,8,,,,,2004-01-30T06:35:40,2004-01-30T18:08:35,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,43279099999
